2026-02-07 12:14:17 status half-configured libmysqlclient21:amd64 8.0.44-0ubuntu0.24.04.2
2026-02-07 12:14:17 status unpacked libmysqlclient21:amd64 8.0.44-0ubuntu0.24.04.2
2026-02-07 12:14:17 status half-installed libmysqlclient21:amd64 8.0.44-0ubuntu0.24.04.2
2026-02-07 12:14:17 status unpacked libmysqlclient21:amd64 8.0.45-0ubuntu0.24.04.1
2026-02-07 12:14:18 startup packages configure
2026-02-07 12:14:18 configure libmysqlclient21:amd64 8.0.45-0ubuntu0.24.04.1 <none>
2026-02-07 12:14:18 status unpacked libmysqlclient21:amd64 8.0.45-0ubuntu0.24.04.1
2026-02-07 12:14:18 status half-configured libmysqlclient21:amd64 8.0.45-0ubuntu0.24.04.1
2026-02-07 12:14:18 status installed libmysqlclient21:amd64 8.0.45-0ubuntu0.24.04.1
2026-02-07 12:14:18 trigproc libc-bin:amd64 2.39-0ubuntu8.7 <none>
2026-02-07 12:14:18 status half-configured libc-bin:amd64 2.39-0ubuntu8.7
2026-02-07 12:14:18 status installed libc-bin:amd64 2.39-0ubuntu8.7
2026-02-07 20:06:48 startup archives unpack
2026-02-07 20:06:49 install liburing2:amd64 <none> 2.5-1build1
2026-02-07 20:06:49 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.7
2026-02-07 20:06:49 status half-installed liburing2:amd64 2.5-1build1
2026-02-07 20:06:49 status unpacked liburing2:amd64 2.5-1build1
2026-02-07 20:06:49 install plocate:amd64 <none> 1.1.19-2ubuntu2
2026-02-07 20:06:49 status half-installed plocate:amd64 1.1.19-2ubuntu2
2026-02-07 20:06:49 status triggers-pending man-db:amd64 2.12.0-4build2
2026-02-07 20:06:49 status unpacked plocate:amd64 1.1.19-2ubuntu2
2026-02-07 20:06:49 startup packages configure
2026-02-07 20:06:49 configure liburing2:amd64 2.5-1build1 <none>
2026-02-07 20:06:49 status unpacked liburing2:amd64 2.5-1build1
2026-02-07 20:06:49 status half-configured liburing2:amd64 2.5-1build1
2026-02-07 20:06:49 status installed liburing2:amd64 2.5-1build1
2026-02-07 20:06:49 configure plocate:amd64 1.1.19-2ubuntu2 <none>
2026-02-07 20:06:49 status unpacked plocate:amd64 1.1.19-2ubuntu2
2026-02-07 20:06:49 status half-configured plocate:amd64 1.1.19-2ubuntu2
2026-02-07 20:07:02 status installed plocate:amd64 1.1.19-2ubuntu2
2026-02-07 20:07:02 trigproc man-db:amd64 2.12.0-4build2 <none>
2026-02-07 20:07:02 status half-configured man-db:amd64 2.12.0-4build2
2026-02-07 20:07:04 status installed man-db:amd64 2.12.0-4build2
2026-02-07 20:07:04 trigproc libc-bin:amd64 2.39-0ubuntu8.7 <none>
2026-02-07 20:07:04 status half-configured libc-bin:amd64 2.39-0ubuntu8.7
2026-02-07 20:07:04 status installed libc-bin:amd64 2.39-0ubuntu8.7
2026-02-07 20:44:52 startup archives unpack
2026-02-07 20:44:53 install htop:amd64 <none> 3.3.0-4build1
2026-02-07 20:44:53 status half-installed htop:amd64 3.3.0-4build1
2026-02-07 20:44:53 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-07 20:44:53 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2026-02-07 20:44:53 status triggers-pending hicolor-icon-theme:all 0.17-2
2026-02-07 20:44:53 status triggers-pending man-db:amd64 2.12.0-4build2
2026-02-07 20:44:53 status unpacked htop:amd64 3.3.0-4build1
2026-02-07 20:44:53 startup packages configure
2026-02-07 20:44:53 configure htop:amd64 3.3.0-4build1 <none>
2026-02-07 20:44:53 status unpacked htop:amd64 3.3.0-4build1
2026-02-07 20:44:53 status half-configured htop:amd64 3.3.0-4build1
2026-02-07 20:44:53 status installed htop:amd64 3.3.0-4build1
2026-02-07 20:44:53 trigproc desktop-file-utils:amd64 0.27-2build1 <none>
2026-02-07 20:44:53 status half-configured desktop-file-utils:amd64 0.27-2build1
